Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,-1,0,0,11,18.5,40.584206065800196,1.5161955995499885,#e74c3c
,9,0,0,11,18.5,38.74301256134734,7.095357097816283,#e74c3c
,19,0,0,11,18.5,37.18272175968999,12.873238125610422,#e74c3c
,29,0,0,11,18.5,35.925384205714025,18.242334672438144,#e74c3c
,39,0,0,11,18.5,35.05350319462823,23.50952318882785,#e74c3c
,49,0,0,11,18.5,34.44942107236357,28.412975020794132,#e74c3c
,59,0,0,11,18.5,33.98256927329411,33.10957613588963,#e74c3c
,69,0,0,11,18.5,33.763416636186136,37.73389451578921,#e74c3c
,79,0,0,11,18.5,33.7958851677156,42.18063596070661,#e74c3c
,89,0,0,11,18.5,33.84894789503605,46.490261604222034,#e74c3c
,98,0,0,11,18.5,34.09270287156716,50.43512653790946,#e74c3c
,109,0,0,11,18.5,34.32560330496463,54.31305048625076,#e74c3c
,119,0,0,11,18.5,34.79405161953767,58.04970777885012,#e74c3c
,129,0,0,11,18.5,35.71577252354839,61.43936790067139,#e74c3c
,138,0,0,11,18.5,36.40774397821789,64.83953743014668,#e74c3c
,148,0,0,11,18.5,37.32669759137404,68.11851450613747,#e74c3c
,158,0,0,11,18.5,37.89603911089121,71.11372669902316,#e74c3c
,168,0,0,11,18.5,38.72749514561447,73.87363521797568,#e74c3c
,178,0,0,11,18.5,39.2224721519232,75.81574021328449,#e74c3c
,188,0,0,11,18.5,38.50518013390112,73.04787393769632,#e74c3c
,198,0,0,11,18.5,37.27279388975608,69.93661846070876,#e74c3c
,-1,0,0,21,18.5,41.81767121311824,11.411740381134699,#3498db
,9,0,0,21,18.5,39.908647967727056,17.099450144532046,#3498db
,19,0,0,21,18.5,38.46384247355188,23.06566295822903,#3498db
,29,0,0,21,18.5,37.27372386749329,28.45895487642778,#3498db
,39,0,0,21,18.5,36.482083702543015,33.76350058871157,#3498db
